created_at,field1,field2,field3,field4
2021-12-07T01:10:59+00:00,1559,301,333,257
2021-12-07T01:11:22+00:00,1560,306,328,254
2021-12-07T01:11:45+00:00,1549,314,331,257
2021-12-07T01:12:08+00:00,1560,312,323,255
2021-12-07T01:12:31+00:00,1561,306,323,257
2021-12-07T01:12:54+00:00,1567,301,331,255
2021-12-07T01:13:16+00:00,1561,307,329,257
2021-12-07T01:13:39+00:00,1557,305,334,262
2021-12-07T01:14:02+00:00,1562,306,329,254
2021-12-07T01:14:25+00:00,1561,301,324,256
2021-12-07T01:14:47+00:00,1559,301,331,257
2021-12-07T01:15:10+00:00,1557,301,331,254
2021-12-07T01:15:32+00:00,1561,301,324,251
2021-12-07T01:15:55+00:00,1558,310,336,255
2021-12-07T01:16:17+00:00,1563,309,329,259
2021-12-07T01:16:40+00:00,1559,302,336,257
2021-12-07T01:17:03+00:00,1554,309,329,259
2021-12-07T01:17:25+00:00,1559,310,328,259
2021-12-07T01:17:48+00:00,1551,308,328,258
2021-12-07T01:18:11+00:00,1563,306,323,257
2021-12-07T01:18:33+00:00,1559,306,324,257
2021-12-07T01:18:56+00:00,1562,308,324,252
2021-12-07T01:19:18+00:00,1561,301,334,255
2021-12-07T01:19:41+00:00,1559,307,330,256
2021-12-07T01:20:04+00:00,1559,302,336,258
2021-12-07T01:20:28+00:00,1562,301,323,257
2021-12-07T01:20:50+00:00,1562,301,331,256
2021-12-07T01:21:13+00:00,1562,306,329,251
2021-12-07T01:21:36+00:00,1562,308,322,257
2021-12-07T01:21:58+00:00,1558,322,347,270
2021-12-07T01:22:21+00:00,1560,330,345,282
2021-12-07T01:22:43+00:00,1560,320,345,268
2021-12-07T01:23:05+00:00,1563,321,353,267
2021-12-07T01:23:28+00:00,1561,321,345,267
2021-12-07T01:23:50+00:00,1558,321,346,267
2021-12-07T01:24:13+00:00,1562,321,344,268
2021-12-07T01:24:35+00:00,1562,320,345,268
2021-12-07T01:24:58+00:00,1565,331,359,277
2021-12-07T01:25:20+00:00,1562,321,353,268
2021-12-07T01:25:42+00:00,1563,320,354,277
2021-12-07T01:26:05+00:00,1559,320,345,269
